Abfanggraben
Unknown
Regattastrecke Oberschleißheim
Fasaneriesee
Lerchenauer See
Riemer See
Unknown
Regattasee
Lußsee
Unknown
Unknown
Kleiner Böhmerweiher
Zamila See
Nadisee
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Ziegelweiher
Unknown
Pagodenburger See
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Ramses See
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Langwieder See
Kaiserbecken
Luitpoldsee
Mariensee
Kinderbecken
Unknown
Biotop
Wittelsbacherbrunnen
Neptunbrunnen
Unknown
Landschaftssee Allacher Lohe
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Kugelweiher
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Birkensee
Unknown
Biotop
Unknown
Unknown
Unknown
Unknown
Unknown
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Deni-Becken West
Vorklärbecken
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Nachklärbecken Bio II
Deni-Kombi-Becken
Deni-Kombi-Becken
Zwischenklärbecken Bio I
Zwischenklärbecken Bio I
Zwischenklärbecken Bio I
Unknown
Unknown
Robben
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Hachinger Bach (Sickerbecken)
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Achtersee
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Nymphenburger Kanal
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Sandfang
Belebungsbecken 3&4 Bio II
Belebungsbecken 5&6 Bio II
Belebungsbecken 1&2 Bio II
Belebungsbecken 9&10 Bio II
Belebungsbecken 7&8 Bio II
Sandfang
Sandfang
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Großer Teich
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Floßlände
Unknown
Warnberger Weiher
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Sollner Weiher
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
Unknown
